ChEMBL ID,Name,SMILES
CHEMBL3989687,ISALMADOL,CN(C)CC1CCCCC1(O)c1cccc(OC(=O)c2ccccc2O)c1
CHEMBL2104097,CYPROXIMIDE,O=C1NC(=O)C2(c3ccc(Cl)cc3)CC12
CHEMBL2104339,IBUTEROL,CC(C)C(=O)Oc1cc(OC(=O)C(C)C)cc(C(O)CNC(C)(C)C)c1
CHEMBL3306031,TIPRINAST,Cc1c(CC(C)C)sc2nc(C(=O)O)nc(O)c12
CHEMBL1205532,EPROVAFEN,O=C(O)CCCCc1ccc(CCCc2ccccc2)s1
CHEMBL3989657,SPARFOSATE SODIUM,O=C(O)CC(NC(=O)CP(=O)([O-])[O-])C(=O)O.[Na+].[Na+]
CHEMBL2104287,DIBENZEPIN HYDROCHLORIDE,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21.Cl
CHEMBL3989704,ESPATROPATE,O=C(O[C@H]1CN2CCC1CC2)[C@@](CO)(c1ccccc1)n1ccnc1
CHEMBL2104303,ETHYNERONE,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#CCl
CHEMBL1200385,ARBUTAMINE HYDROCHLORIDE,Cl.Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
CHEMBL2104935,MITOTENAMINE,CCN(CCCl)Cc1csc2ccc(Br)cc12
CHEMBL2104170,CLIPROFEN,CC(C(=O)O)c1ccc(C(=O)c2cccs2)c(Cl)c1
CHEMBL2105440,TIGESTOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCCC4)[C@H]3CC[C@@]21C
CHEMBL2104653,CLORFENVINFOS,CCOP(=O)(OCC)O/C(=C\Cl)c1ccc(Cl)cc1Cl
CHEMBL2107436,LOMETRALINE HYDROCHLORIDE,COc1ccc(Cl)c2c1CCCC2N(C)C.Cl
CHEMBL4297069,TIZOLEMIDE,CN=C1SCC(O)(c2ccc(Cl)c(S(N)(=O)=O)c2)N1C
CHEMBL2104450,AMOTOSALEN HYDROCHLORIDE,Cc1oc2c(C)c3oc(=O)cc(C)c3cc2c1COCCN.Cl
CHEMBL2105034,IPROXAMINE HYDROCHLORIDE,Cc1cc(OCCN(C)C)c(C(C)C)cc1OC(=O)OC(C)C.Cl
CHEMBL2104618,DEBOXAMET,COc1ccc2[nH]c(C)c(CC(=O)NO)c2c1
CHEMBL2110994,MEBEZONIUM,C[N+](C)(C)C1CCC(CC2CCC([N+](C)(C)C)CC2)CC1
