Chemical Name,SMILES,Binding
1-amino-1-deoxy-beta-D-mannopyranose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)N)O)O)O)O,Yes
Beta-D-glucopyranosyl amine,NC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Yes
Miglitol,C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O,Yes
1-Deoxynojirimycin,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,Yes
D-(+)-Turanose,O1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)O[C@H]2[C@@H]([C@@H](COC2(O)CO)O)O,Yes
Voglibose,C1[C@@H]([C@@H]([C@H]([C@@H]([C@]1(CO)O)O)O)O)NC(CO)CO,Yes
1-Deoxy-1-morpholino-D-fructose,O[C@H](COC(CN1CCOCC1)2O)[C@H]([C@@H]2O)O,Yes
D-Glucamine,C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)N,Yes
Acarbose,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO,Yes
Meglumine,N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C,Yes
2-Deoxy-D-glucose,C1[C@H]([C@@H]([C@H](OC1O)CO)O)O,No
1-Thio-beta-D-glucose sodium salt,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)[S-])O)O)O)O.[Na+],Yes
5-Thio-D-glucose,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(O)S1,No
D-(-)-Tagatose,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O,No
D-(+)-Sorbose,C1[C@H]([C@@H]([C@H](C(O1)(CO)O)O)O)O,No
D-Psicose,C1[C@H]([C@H]([C@H](C(O1)(CO)O)O)O)O,No
"2-hydroxymethyl-tetrahydro-pyran-3,4,5-triol",O1C(C(C(C(C1)O)O)O)CO,No
alpha-D-glucopyranosyl fluoride,FC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,No
"1-Amino-2,5-anhydro-1-deoxy-D-mannitol",OC[C@@H]1[C@@H](O)[C@H](O)C(CN)O1,Yes
D-(+)-Cellobiose,O[C@@H]1[C@@H](O)C(O)O[C@H](CO)[C@H]1O[C@H](O2)[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO,No
Maltose,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,Yes
beta-Lactose,O1[C@H]([C@@H]([C@H]([C@H]([C@H]1CO)O)O)O)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO,No
D-Sorbitol,O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)CO,No
Dulcitol,O[C@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO,No
L-Iditol,O[C@@H]([C@H](O)[C@@H](O)CO)[C@@H](O)CO,No
D-Mannitol,O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO,No
"2,5-Anhydro-D-mannitol",C([C@@H]1[C@H]([C@@H]([C@H](O1)CO)O)O)O,No
"2,5-Anhydro-D-glucitol",C([C@@H]1[C@H]([C@@H]([C@@H](O1)CO)O)O)O,No
1-Azido-1-deoxy-beta-D-glucopyranoside,[N-]=[N+]=NC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,No
Ethyl-beta-D-thiogalactopyranoside,CCSC1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,No
Methyl-beta-D-thiogalactoside,O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)OC1SC,No
2-Azidoethyl beta-lactopyranoside,[N+](=[N-])=NCCO[C@@H]1OC([C@H](C(C1O)O)O[C@@H]2OC(C([C@@H](C2O)O)O)CO)CO,No
IPTG,S([C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO)C(C)C,No
D-Leucrose,C1[C@H]([C@H]([C@@H]([C@](O1)(CO)O)O)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,No
Adonitol,O[C@H]([C@H](O)CO)[C@@H](O)CO,No
Xylitol,O[C@H]([C@@H](O)CO)[C@H](O)CO,No
